state_key,state_name,population
0,Alabama,5157699.0
1,Alaska,740133.0
2,Arizona,7582384.0
3,Arkansas,3088354.0
4,California,39431263.0
5,Colorado,5957493.0
6,Connecticut,3675069.0
7,Delaware,1051917.0
8,District of Columbia,
9,Florida,23372215.0
10,Georgia,11180878.0
11,Hawaii,1446146.0
12,Idaho,2001619.0
13,Illinois,12710158.0
14,Indiana,6924275.0
15,Iowa,3241488.0
16,Kansas,2970606.0
17,Kentucky,4588372.0
18,Louisiana,4597740.0
19,Maine,1405012.0
20,Maryland,6263220.0
21,Massachusetts,7136171.0
22,Michigan,10140459.0
23,Minnesota,5793151.0
24,Mississippi,2943045.0
25,Missouri,6245466.0
26,Montana,1137233.0
27,Nebraska,2005465.0
28,Nevada,3267467.0
29,New Hampshire,1409032.0
30,New Jersey,9500851.0
31,New Mexico,2130256.0
32,New York,19867248.0
33,North Carolina,11046024.0
34,North Dakota,796568.0
35,Ohio,11883304.0
36,Oklahoma,4095393.0
37,Oregon,4272371.0
38,Pennsylvania,13078751.0
39,Rhode Island,1112308.0
40,South Carolina,5478831.0
41,South Dakota,924669.0
42,Tennessee,7227750.0
43,Texas,31290831.0
44,Utah,3503613.0
45,Vermont,648493.0
46,Virginia,8811195.0
47,Washington,7958180.0
48,West Virginia,1769979.0
49,Wisconsin,5960975.0
50,Wyoming,587618.0
