state_key,pm25_level,water_violation_rate,food_env_index,exercise_access,limited_healthyfood_access
0,9.3,13.43,5.3,60.93,8.76
1,7.55,55.17,6.8,75.71,7.87
2,4.8,80.0,6.4,86.16,8.68
3,8.9,33.33,4.8,62.97,10.02
4,7.1,63.79,8.8,94.59,3.23
5,4.45,50.0,8.5,90.4,5.04
6,7.4,75.0,8.1,93.46,4.27
7,7.6,66.67,7.6,81.27,6.3
8,8.9,100.0,8.7,100.0,1.61
9,7.8,49.25,6.9,88.23,7.59
10,9.4,16.98,6.1,74.64,10.02
11,3.6,,7.9,93.66,5.36
12,5.15,38.64,7.5,74.72,7.92
13,8.8,34.31,8.5,90.36,4.83
14,8.8,23.91,6.5,76.79,8.65
15,7.4,8.08,8.6,79.28,5.67
16,6.7,40.95,7.0,79.66,8.44
17,8.2,15.83,6.5,69.94,6.39
18,8.6,71.88,5.0,75.83,10.66
19,5.4,68.75,8.2,65.69,3.54
20,7.35,25.0,8.7,92.1,3.56
21,6.75,35.71,9.2,94.72,3.93
22,6.8,18.07,7.0,85.16,6.38
23,6.1,17.24,9.0,86.0,5.69
24,9.0,21.95,3.9,57.46,11.37
25,7.6,29.57,6.8,75.75,7.24
26,4.6,28.57,7.7,72.8,7.25
27,5.8,24.73,7.8,83.14,5.65
28,4.2,41.18,7.2,91.5,6.15
29,5.25,0.0,9.1,84.15,4.23
30,7.8,90.48,9.2,96.13,3.65
31,4.5,60.61,4.5,74.29,13.04
32,6.9,45.16,8.9,93.16,2.38
33,7.75,18.0,6.5,74.53,7.5
34,5.0,3.77,9.1,72.52,6.86
35,8.9,19.32,6.8,83.79,6.87
36,8.7,72.73,5.8,71.3,8.87
37,7.7,44.44,8.1,87.88,4.67
38,8.5,77.61,8.4,85.82,4.59
39,5.9,20.0,8.6,95.54,4.67
40,8.3,28.26,6.6,70.32,9.75
41,4.8,22.73,7.3,70.56,8.48
42,7.6,6.32,6.1,67.57,8.87
43,8.55,52.36,5.9,81.74,8.35
44,4.7,37.93,7.9,84.16,5.79
45,5.85,35.71,8.9,70.58,2.97
46,7.3,16.84,8.9,83.36,4.44
47,7.1,35.9,8.4,85.95,5.08
48,7.3,45.45,6.5,57.83,7.5
49,7.8,40.28,8.8,83.53,5.0
50,3.6,47.83,7.0,77.55,7.96
